Date,Open,High,Low,Close,Volume
2026-01-01,24100.00,24250.50,24050.25,24200.00,1250000
2026-01-02,24200.00,24350.00,24150.00,24300.50,1320000
2026-01-03,24300.50,24400.00,24200.00,24250.00,1180000
2026-01-04,24250.00,24500.00,24200.00,24480.00,1450000
2026-01-05,24480.00,24550.00,24350.00,24400.00,1380000
2026-01-06,24400.00,24600.00,24380.00,24580.50,1520000
2026-01-07,24580.50,24700.00,24500.00,24650.00,1600000
2026-01-08,24650.00,24750.00,24550.00,24600.00,1420000
2026-01-09,24600.00,24680.00,24450.00,24520.00,1350000
2026-01-10,24520.00,24600.00,24400.00,24450.00,1280000
2026-01-11,24450.00,24500.00,24300.00,24350.00,1400000
2026-01-12,24350.00,24400.00,24200.00,24280.00,1320000
2026-01-13,24280.00,24350.00,24150.00,24200.00,1250000
2026-01-14,24200.00,24300.00,24100.00,24250.00,1180000
2026-01-15,24250.00,24400.00,24200.00,24380.00,1420000
2026-01-16,24380.00,24550.00,24350.00,24500.00,1550000
2026-01-17,24500.00,24650.00,24480.00,24620.00,1680000
2026-01-18,24620.00,24750.00,24600.00,24700.00,1720000
2026-01-19,24700.00,24850.00,24680.00,24800.00,1850000
2026-01-20,24800.00,24900.00,24750.00,24850.00,1920000
2026-01-21,24850.00,24950.00,24800.00,24780.00,1650000
2026-01-22,24780.00,24820.00,24650.00,24700.00,1480000
2026-01-23,24700.00,24750.00,24550.00,24600.00,1380000
2026-01-24,24600.00,24650.00,24450.00,24500.00,1420000
2026-01-25,24500.00,24550.00,24350.00,24400.00,1350000
2026-01-26,24400.00,24480.00,24300.00,24450.00,1280000
2026-01-27,24450.00,24600.00,24420.00,24580.00,1520000
2026-01-28,24580.00,24750.00,24550.00,24720.00,1680000
2026-01-29,24720.00,24850.00,24700.00,24800.00,1750000
2026-01-30,24800.00,24950.00,24780.00,24920.00,1850000
2026-01-31,24920.00,25100.00,24900.00,25050.00,1980000
